,Country,Numbers,Latitude,Longitude
23,United States,229,37.0902,-95.7129
8,India,104,20.5937,78.9629
3,Brazil,70,-14.235,-51.9253
12,Mexico,42,23.6345,-102.5528
9,Indonesia,30,-0.7893,113.9213
17,Russia,29,61.524,105.3188
16,Philippines,12,12.8797,121.774
20,Thailand,10,15.87,100.9925
4,Colombia,7,4.5709,-74.2973
1,Argentina,7,-38.4161,-63.6167
22,United Kingdom,4,55.3781,-3.436
19,Spain,4,40.4637,-3.7492
21,Turkey,3,38.9637,35.2433
10,Iraq,3,33.2232,43.6793
18,Saudi Arabia,3,23.8859,45.0792
14,Pakistan,2,30.3753,69.3451
13,Morocco,2,31.7917,-7.0926
11,Japan,2,36.2048,138.2529
2,Bangladesh,2,23.685,90.3563
6,Egypt,2,26.8206,30.8025
0,Algeria,2,28.0339,1.6596
15,Peru,1,-9.19,-75.0152
5,Ecuador,1,-1.8312,-78.1834
7,France,1,46.6034,1.8883
