,Youtuber Name,Actual Subscriber (Log),Predicted Subscriber (Log)
0,891,16.0978929436408,16.455123562881866
1,140,17.01009369026343,16.811182493636974
2,248,16.727861222579214,16.694143445083228
3,695,16.222455666282563,16.33017035183145
4,947,16.056220247240233,16.544837924886775
5,558,16.34123920227253,16.594695506668533
6,347,16.569171270318538,16.43958352956054
7,54,17.41282281855272,16.97018981357255
8,157,16.95966283663654,16.445620387294476
9,539,16.35711255142882,16.94884986791446
10,802,16.147654453199863,16.50748121819542
11,486,16.40327459319198,17.35881404075813
12,934,16.06680235657077,16.788012880465267
13,892,16.0978929436408,16.54578080268113
14,928,16.06680235657077,16.58819259002711
15,160,16.951004773893423,16.391049681079966
16,540,16.35711255142882,16.673479350516125
17,312,16.61887093887081,16.80297548316717
18,192,16.84080163375981,16.92100509537313
19,582,16.325109820342647,16.628531487137963
20,146,17.001863191126915,17.043678380771148
21,503,16.38812278817138,17.130875257736335
22,687,16.231424336265324,16.562651808566038
23,465,16.432906390798355,16.466080082837856
24,979,16.045524958123483,16.46360860500202
25,152,16.985196138641705,16.42971978098577
26,436,16.461685355348397,17.089490941474562
27,976,16.045524958123483,17.5699569157803
28,428,16.475770095230136,16.62434688197569
29,144,17.01009369026343,16.475197884111193
30,521,16.3727378693319,16.43580496491925
31,998,16.034714042019267,16.51208840938047
32,739,16.204273347199372,17.50369759958769
33,936,16.06680235657077,17.596050737978203
34,422,16.475770095230136,16.6005678601663
35,108,17.136942971157566,16.526159177647187
36,18,17.896432099854234,16.913056148574892
37,353,16.556350581889475,16.66302195004496
38,13,17.99756070060548,16.43985592907859
39,173,16.915602846842507,16.6908432532709
40,200,16.831045458814444,16.448269719982076
41,774,16.166885815127753,16.895850108544668
42,642,16.25785759333348,16.455749532128593
43,357,16.556350581889475,16.344316411923053
44,309,16.630919277386983,16.60589529583984
45,207,16.811242831518264,16.96251963700458
46,487,16.40327459319198,16.486781124702492
47,981,16.045524958123483,16.42653806139324
48,315,16.61887093887081,17.021941048372796
49,807,16.147654453199863,16.56141231009176
50,576,16.325109820342647,16.961311864593593
51,55,17.399029496420383,16.910816033165553
52,292,16.666217059468007,16.73570422873189
53,282,16.67771143889374,16.388485200043004
54,461,16.440179150127435,16.328230413476184
55,684,16.240313283682568,16.695048948611685
56,423,16.475770095230136,16.95464839655904
57,158,16.951004773893423,16.541299187031456
58,81,17.25912865551038,16.584132258893984
59,484,16.41076526492114,16.241640654166776
60,155,16.96824658032793,16.46210536324933
61,4,18.342719202482655,17.061534510570198
62,995,16.034714042019267,16.510523182308365
63,941,16.06680235657077,16.404584262780958
64,369,16.543363386362664,16.701581023132395
65,904,16.08763644347361,16.674627401747482
66,228,16.77042083699801,16.493452269325292
67,154,16.96824658032793,16.522870513176713
68,392,16.51687177091569,16.420604989936646
69,459,16.44739939810092,16.79696049670665
70,577,16.325109820342647,16.566778880852766
71,19,17.865554861289795,16.645665082584927
72,692,16.222455666282563,16.430427636401273
73,735,16.204273347199372,16.52431121271727
74,534,16.35711255142882,16.46335314146842
75,741,16.204273347199372,16.4744822345995
76,475,16.41820024340866,16.552482326418502
77,579,16.325109820342647,16.43994732791127
78,279,16.67771143889374,16.656412630103446
79,668,16.240313283682568,16.499195705380554
80,249,16.727861222579214,16.611072350752497
81,342,16.569171270318538,16.45581759159936
82,165,16.933460464242515,16.402590630726444
83,417,16.489659207390805,16.816186668403702
84,379,16.530205301785152,16.42852277133083
85,990,16.034714042019267,16.519180520935407
86,16,17.98527175947113,16.562420956975856
87,895,16.08763644347361,16.350394908422576
88,479,16.41820024340866,16.836498433180008
89,890,16.0978929436408,16.48915064765371
90,162,16.94227109392467,16.374543248455304
91,498,16.40327459319198,16.4923208511267
92,589,16.308716010566968,17.12997419263168
93,816,16.147654453199863,17.21575581095376
94,587,16.308716010566968,16.278838508594536
95,212,16.801192495664765,16.895421039406212
96,996,16.034714042019267,16.57364549498283
97,372,16.543363386362664,16.946714324830296
98,380,16.530205301785152,17.026967835489934
99,290,16.666217059468007,17.034033844972072
100,757,16.185754299432134,16.764102608217637
101,267,16.694709015262312,16.566991582163276
102,153,16.97675726999584,16.532779509108206
103,711,16.222455666282563,16.830324265613747
104,762,16.185754299432134,16.692818043821063
105,570,16.325109820342647,16.55701404043042
106,806,16.147654453199863,16.36223532204671
107,330,16.59432982995469,16.388836673759517
108,945,16.06680235657077,16.499744349394632
109,364,16.543363386362664,16.88201261601333
110,149,16.99356438831222,16.440706618220062
111,450,16.44739939810092,16.879888422518846
112,925,16.077273656438063,16.43894938431193
113,908,16.08763644347361,16.48924307990878
114,136,17.02635421113521,16.510168581813172
